#name	ftp_path	organism	assembly_level
Acin_pit_PHEA_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/145/GCF_000191145.1_ASM19114v1	Acinetobacter pittii	Complete Genome
Acin_bau_GCF_000814345_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/345/GCF_000814345.1_ASM81434v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_000820665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/820/665/GCF_000820665.1_CLCgenomics	Acinetobacter baumannii	Chromosome
Acin_bau_GCF_000820685_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/820/685/GCF_000820685.1_CLCgenomics	Acinetobacter baumannii	Chromosome
Acin_bau_GCF_000828935_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/935/GCF_000828935.1_ASM82893v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_000830055_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/055/GCF_000830055.1_ASM83005v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_000939415_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/939/415/GCF_000939415.2_HGAP_assembly_of_Acinetobacter_baumannii_ORAB01	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_000963815_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/815/GCF_000963815.1_ASM96381v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001026965_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/026/965/GCF_001026965.1_ASM102696v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001077555_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/555/GCF_001077555.2_ASM107755v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001077565_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/565/GCF_001077565.2_ASM107756v2	Acinetobacter baumannii	Chromosome
Acin_bau_GCF_001077655_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/655/GCF_001077655.1_ASM107765v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001077675_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/675/GCF_001077675.1_ASM107767v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001077965_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/965/GCF_001077965.2_ASM107796v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001261895_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/261/895/GCF_001261895.2_R2090	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001399655_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/655/GCF_001399655.1_ASM139965v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001457535_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/535/GCF_001457535.1_CIP70.10	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001514375_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/514/375/GCF_001514375.1_ASM151437v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001517645_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/517/645/GCF_001517645.1_R2091	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001543995_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/995/GCF_001543995.1_ASM154399v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001573065_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/573/065/GCF_001573065.1_ASM157306v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001573085_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/573/085/GCF_001573085.1_ASM157308v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001573105_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/573/105/GCF_001573105.1_ASM157310v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001573125_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/573/125/GCF_001573125.1_ASM157312v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001578145_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/145/GCF_001578145.1_ASM157814v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001593425_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/425/GCF_001593425.2_ASM159342v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001636235_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/636/235/GCF_001636235.1_ASM163623v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001668465_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/668/465/GCF_001668465.2_ASM166846v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001669145_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/669/145/GCF_001669145.2_ASM166914v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001674475_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/674/475/GCF_001674475.2_ASM167447v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001674505_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/674/505/GCF_001674505.2_ASM167450v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001721705_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/705/GCF_001721705.1_ASM172170v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001806345_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/345/GCF_001806345.1_ASM180634v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001806365_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/365/GCF_001806365.1_ASM180636v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001806385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/385/GCF_001806385.1_ASM180638v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001806405_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/405/GCF_001806405.1_ASM180640v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001806425_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/425/GCF_001806425.1_ASM180642v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001806445_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/445/GCF_001806445.1_ASM180644v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001806465_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/465/GCF_001806465.1_ASM180646v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001806485_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/485/GCF_001806485.1_ASM180648v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001887305_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/305/GCF_001887305.1_ASM188730v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001895125_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/895/125/GCF_001895125.2_ASM189512v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001895985_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/895/985/GCF_001895985.1_ASM189598v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001896005_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/896/005/GCF_001896005.1_ASM189600v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001902375_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/375/GCF_001902375.1_ASM190237v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001908295_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/295/GCF_001908295.1_ASM190829v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001922205_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/205/GCF_001922205.1_ASM192220v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001922225_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/225/GCF_001922225.1_ASM192222v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001922245_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/245/GCF_001922245.1_ASM192224v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_001922425_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/425/GCF_001922425.2_ASM192242v2	Acinetobacter baumannii	Chromosome
Acin_bau_GCF_001941765_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/765/GCF_001941765.1_ASM194176v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082625_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/625/GCF_002082625.2_ASM208262v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082645_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/645/GCF_002082645.1_ASM208264v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082685_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/685/GCF_002082685.1_ASM208268v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082705_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/705/GCF_002082705.1_ASM208270v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082725_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/725/GCF_002082725.1_ASM208272v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082745_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/745/GCF_002082745.1_ASM208274v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082785_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/785/GCF_002082785.1_ASM208278v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082805_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/805/GCF_002082805.1_ASM208280v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082825_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/825/GCF_002082825.1_ASM208282v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082845_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/845/GCF_002082845.1_ASM208284v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082865_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/865/GCF_002082865.1_ASM208286v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002082885_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/885/GCF_002082885.1_ASM208288v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002116925_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/925/GCF_002116925.1_ASM211692v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002210065_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/210/065/GCF_002210065.1_ASM221006v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002504145_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/504/145/GCF_002504145.1_ASM250414v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002741415_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/741/415/GCF_002741415.1_ASM274141v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002753915_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/753/915/GCF_002753915.1_ASM275391v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002761575_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/575/GCF_002761575.1_ASM276157v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002762095_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/762/095/GCF_002762095.1_ASM276209v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002762115_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/762/115/GCF_002762115.1_ASM276211v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002762155_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/762/155/GCF_002762155.1_ASM276215v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002843665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/843/665/GCF_002843665.1_ASM284366v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002902885_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/902/885/GCF_002902885.1_ASM290288v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002947415_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/947/415/GCF_002947415.1_ASM294741v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002947845_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/947/845/GCF_002947845.1_ASM294784v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002948475_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/948/475/GCF_002948475.1_ASM294847v1	Acinetobacter baumannii	Chromosome
Acin_bau_GCF_002948925_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/948/925/GCF_002948925.1_ASM294892v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002950495_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/950/495/GCF_002950495.2_ASM295049v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002996805_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/805/GCF_002996805.1_ASM299680v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_002999195_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/999/195/GCF_002999195.2_ASM299919v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003006035_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/006/035/GCF_003006035.1_ASM300603v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003010655_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/010/655/GCF_003010655.1_ASM301065v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003010675_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/010/675/GCF_003010675.1_ASM301067v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003029495_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/029/495/GCF_003029495.1_ASM302949v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003181015_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/181/015/GCF_003181015.1_ASM318101v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003202135_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/202/135/GCF_003202135.1_ASM320213v1	Acinetobacter baumannii	Chromosome
Acin_bau_GCF_003264255_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/264/255/GCF_003264255.1_ASM326425v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003264275_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/264/275/GCF_003264275.1_ASM326427v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003264295_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/264/295/GCF_003264295.1_ASM326429v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003288775_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/288/775/GCF_003288775.1_ASM328877v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003296225_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/296/225/GCF_003296225.1_ASM329622v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003345235_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/345/235/GCF_003345235.1_ASM334523v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003431385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/385/GCF_003431385.1_ASM343138v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003431865_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/865/GCF_003431865.1_ASM343186v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003516005_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/516/005/GCF_003516005.1_ASM351600v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003522665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/522/665/GCF_003522665.1_ASM352266v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003522705_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/522/705/GCF_003522705.1_ASM352270v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003522785_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/522/785/GCF_003522785.1_ASM352278v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003522845_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/522/845/GCF_003522845.1_ASM352284v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003522885_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/522/885/GCF_003522885.1_ASM352288v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003547115_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/547/115/GCF_003547115.1_ASM354711v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003591615_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/591/615/GCF_003591615.1_ASM359161v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003812065_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/065/GCF_003812065.1_ASM381206v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003812385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/385/GCF_003812385.1_ASM381238v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003812485_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/485/GCF_003812485.1_ASM381248v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003931755_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/931/755/GCF_003931755.1_ASM393175v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003931775_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/931/775/GCF_003931775.1_ASM393177v1	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003948085_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/948/085/GCF_003948085.2_ASM394808v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003948455_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/948/455/GCF_003948455.2_ASM394845v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003948535_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/948/535/GCF_003948535.2_ASM394853v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003949115_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/949/115/GCF_003949115.2_ASM394911v2	Acinetobacter baumannii	Complete Genome
Acin_bau_GCF_003949295_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/949/295/GCF_003949295.2_ASM394929v2	Acinetobacter baumannii	Chromosome
Acin_bau_GCF_003949595_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/949/595/GCF_003949595.2_ASM394959v2	Acinetobacter baumannii	Complete Genome
