tax_id	organism_name	infraspecific_name	bioproject	biosample	assembly_accession	refseq_category	assembly_level	genome_rep	seq_rel_date	asm_name	gbrs_paired_asm	ftp_path	species	species_id	genus	genus_id	family	family_id
561007	Mycobacteroides abscessus ATCC 19977	strain=ATCC 19977	PRJNA224116	SAMEA3138276	GCF_000069185.1	reference genome	Complete Genome	Full	2008-03-01	ASM6918v1	GCA_000069185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/185/GCF_000069185.1_ASM6918v1	Mycobacteroides abscessus	36809	Mycobacteroides	670516	Mycobacteriaceae	1762
435590	Phocaeicola vulgatus ATCC 8482	strain=ATCC 8482	PRJNA224116	SAMN02604309	GCF_000012825.1	reference genome	Complete Genome	Full	2007-06-27	ASM1282v1	GCA_000012825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/825/GCF_000012825.1_ASM1282v1	Phocaeicola vulgatus	821	Phocaeicola	909656	Bacteroidaceae	815
529507	Proteus mirabilis HI4320	strain=HI4320	PRJNA224116	SAMEA1705945	GCF_000069965.1	reference genome	Complete Genome	Full	2008-04-03	ASM6996v1	GCA_000069965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/965/GCF_000069965.1_ASM6996v1	Proteus mirabilis	584	Proteus	583	Morganellaceae	1903414
208964	Pseudomonas aeruginosa PAO1	strain=PAO1	PRJNA57945	SAMN02603714	GCF_000006765.1	reference genome	Complete Genome	Full	2006-07-07	ASM676v1	GCA_000006765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1	Pseudomonas aeruginosa	287	Pseudomonas	286	Pseudomonadaceae	135621
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	strain=LT2	PRJNA57799	SAMN02604315	GCF_000006945.2	reference genome	Complete Genome	Full	2016-01-13	ASM694v2	GCA_000006945.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2	Salmonella enterica	28901	Salmonella	590	Enterobacteriaceae	543
198214	Shigella flexneri 2a str. 301	strain=301	PRJNA62907	SAMN02603599	GCF_000006925.2	reference genome	Complete Genome	Full	2011-08-03	ASM692v2	GCA_000006925.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2	Shigella flexneri	623	Shigella	620	Enterobacteriaceae	543
93061	Staphylococcus aureus subsp. aureus NCTC 8325	strain=NCTC 8325	PRJNA57795	SAMN02604235	GCF_000013425.1	reference genome	Complete Genome	Full	2006-02-13	ASM1342v1	GCA_000013425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1	Staphylococcus aureus	1280	Staphylococcus	1279	Staphylococcaceae	90964
40041	Streptococcus equi subsp. zooepidemicus	strain=SEZ13	PRJNA224116	SAMN16565168	GCF_015689395.1	reference genome	Complete Genome	Full	2020-11-25	ASM1568939v1	GCA_015689395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/395/GCF_015689395.1_ASM1568939v1	Streptococcus equi	1336	Streptococcus	1301	Streptococcaceae	1300
568814	Streptococcus suis BM407	strain=BM407	PRJNA224116	SAMEA2272697	GCF_000026745.1	reference genome	Complete Genome	Full	2009-07-07	ASM2674v1	GCA_000026745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/745/GCF_000026745.1_ASM2674v1	Streptococcus suis	1307	Streptococcus	1301	Streptococcaceae	1300
223926	Vibrio parahaemolyticus RIMD 2210633	strain=RIMD 2210633 substr. RIMD 2210633	PRJNA224116	SAMD00058707	GCF_000196095.1	reference genome	Complete Genome	Full	2004-05-11	ASM19609v1	GCA_000196095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/095/GCF_000196095.1_ASM19609v1	Vibrio parahaemolyticus	670	Vibrio	662	Vibrionaceae	641
359385	Xanthomonas campestris pv. raphani	strain=MAFF106181	PRJNA224116	SAMN15347475	GCF_013388375.1	reference genome	Complete Genome	Full	2020-07-04	ASM1338837v1	GCA_013388375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/388/375/GCF_013388375.1_ASM1338837v1	Xanthomonas campestris	339	Xanthomonas	338	Lysobacteraceae	32033
1035377	Yersinia pestis A1122	strain=A1122	PRJNA224116	SAMN02603531	GCF_000222975.1	reference genome	Complete Genome	Full	2011-08-05	ASM22297v1	GCA_000222975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/975/GCF_000222975.1_ASM22297v1	Yersinia pestis	632	Yersinia	629	Yersiniaceae	1903411
